Chesterton	Gilbert	Si de verdad vale la pena hacer algo, vale la pena hacerlo a toda costa.
Chesterton	Gilbert	El mundo moderno está lleno de hombres que sostienen dogmas con tanta firmeza, que ni siquiera se dan cuenta de que son dogmas.
Chesterton	Gilbert	La humildad es una virtud tan práctica, que los hombres se figuran que debe ser un vicio.
Chesterton	Gilbert	No puedes hacer una revolución para tener la democracia. Debes tener la democracia para hacer una revolución.
Chesterton	Gilbert	La fatalidad no pesa sobre el hombre cada vez que hace algo; pero pesa sobre él, a menos que haga algo.
Chesterton	Gilbert Keith	Las vidas de los ricos son en el fondo tan aburridas y monótonas, sencillamente porque ellos pueden escoger lo que ha de sucederles. Están aburridos porque son omnipotentes... La cosa que mantiene la vida romántica y llena de ardientes posibilidades es la existencia de esas grandes limitaciones vulgares que nos obligan a todos a enfrentarnos a las cosas que no nos gustan o que no esperamos. 
Chesterton	Gilbert Keith	Hasta donde hemos perdido la creencia, hemos perdido la razón. Ambos tienen la misma condición autoritaria y primaria. Ambas constituyen métodos de prueba que, a su vez, no admiten ser probados. Y en el acto de aniquilar la idea de la autoridad divina, damos al traste con aquella autoridad humana de que no podemos dispensarnos ni aún para decir que dos y dos son cuatro. 
Chesterton	Gilbert Keith	La idea que no trata de convertirse en palabra es una mala idea, y la palabra que no trata de convertirse en acción es una mala palabra. 
Chesterton	Gilbert Keith	Yo he conocido muchos matrimonios felices, pero ni uno solo compatible. Toda la mira del matrimonio es combatir durante el instante en que la incompatibilidad se hace indiscutible y sobrevivirlo. 
Chesterton	Gilbert Keith	El fin de tener una mente abierta, como el de una boca abierta, es llenarla con algo valioso. 
Chesterton	Gilbert Keith	El juego de ponerse límites a sí mismo es uno de los placeres secretos de la vida. 
Chesterton	Gilbert Keith	La fantasía nunca arrastra a la locura; lo que arrastra a la locura es precisamente la razón. Los poetas no se vuelven locos, pero sí los jugadores de ajedrez. 
Chesterton	Gilbert Keith	La finalidad de la vida es la apreciación: no tiene sentido no apreciar las cosas, y no tiene sentido poseer más cantidad de ellas, si no se las aprecia. 
Chesterton	Gilbert Keith	El único modo de estar seguro de coger un tren es perder el anterior. 
Chesterton	Gilbert Keith	El sabio es quien quiere asomar su cabeza al cielo; y el loco es quien quiere meter el cielo en su cabeza. 
Chesterton	Gilbert Keith	La única educación eterna es esta: estar lo bastante seguro de una cosa para decírsela a un niño. 
Chesterton	Gilbert Keith	Cuando se deja de creer en Dios, enseguida se cree en cualquier cosa. 
Cicerón	Marco Tulio	Los hombres son como los vinos: la edad agria los malos y mejora los buenos.
Cicerón	Marco Tulio	En cuanto a la adversidad, difícilmente la soportarías si no tuvieras un amigo que sufriese por ti más que tu mismo.
Cicerón	Marco Tulio	La vida de los muertos perdura en la memoria de los vivos
Cicerón	Marco Tulio	Cuanto mayor es la dificultad, mayor es la gloria.
Cicerón	Marco Tulio	La verdad se corrompe tanto con la mentira como con el silencio.
Cicerón	Marco Tulio	Cuanto más altos estamos, más debemos bajarnos hacia nuestros inferiores.
Cicerón	Marco Tulio	No solamente es ciega la fortuna, sino que de ordinario vuelve también ciegos a aquellos a quienes acaricia.
Cicerón	Marco Tulio	La naturaleza ha puesto en nuestras mentes un insaciable deseo de ver la verdad.
Cicerón	Marco Tulio	No basta con alcanzar la sabiduría, es necesario saber utilizarla.
Cicerón 	Marco Tulio	No sé, si, con excepción de la sabiduría, los dioses inmortales han otorgado al hombre algo mejor que la amistad.
Confucio		Cada cosa tiene su belleza, pero no todos pueden verla.
Confucio		¿Me preguntas por qué compro arroz y flores? Compro arroz para vivir y flores para tener algo por lo que vivir.
Confucio		Elige un trabajo que te guste y no tendrás que trabajar ni un día de tu vida.
Confucio		Se puede quitar a un general su ejército, pero no a un hombre su voluntad.
Confucio		El silencio es el único amigo que jamás traiciona.
